"learner_id","country","region","job_role","industry","background","r_experience_level","week","study_hours","lessons_completed","confidence_score","pre_assessment_score","project_score","completion_status","first_script_completed","used_rstudio","used_quarto","used_git","used_renv","preferred_learning_mode","monthly_income_band","manager_support","payment_probability_score","high_project_score","score_gap","study_band"
"L0013","Canada","South America","Student","Finance","Google Sheets","Beginner",3,10,42,99,75,71,"Paused",FALSE,TRUE,TRUE,TRUE,TRUE,"Instructor-Led","Lower-Middle",FALSE,17.2,FALSE,-4,"High study time"
"L0014","South Korea","Africa","Student","Finance","Google Sheets","Beginner",7,10,25,72,56,76,"Paused",FALSE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","Lower-Middle",FALSE,18.6,FALSE,20,"High study time"
"L0015","Ireland","Oceania","Manager","Retail","Ms Excel","Advanced",12,11.4,22,89,70,100,"Dropped",TRUE,TRUE,FALSE,FALSE,FALSE,"Self-Paced","Lower-Middle",FALSE,25.8,TRUE,30,"High study time"
"L0016","India","Oceania","Clerk","Finance","Google Sheets","Beginner",12,12.1,28,95,50,98.05,"Completed",TRUE,FALSE,FALSE,FALSE,FALSE,"Hybrid","High",FALSE,9.7,TRUE,48.05,"High study time"
"L0017","Denmark","South America","Student","Finance","Power Bi","Advanced",8,14.6,25,61,34,99.3,"Completed",FALSE,FALSE,TRUE,FALSE,FALSE,"Instructor-Led","High",TRUE,23.5,TRUE,65.3,"High study time"
"L0018","United States","Asia","Clerk","Tech","Power Bi","Intermediate",7,12.8,22,59,70,81.4,"Completed",FALSE,TRUE,FALSE,TRUE,FALSE,"Self-Paced","Upper-Middle",TRUE,24.2,TRUE,11.4,"High study time"
"L0019","Norway","North America","Clerk","Government","Power Bi","Beginner",12,13.7,24,52,20,73.85,"In Progress",TRUE,FALSE,FALSE,FALSE,FALSE,"Instructor-Led","High",TRUE,22.1,FALSE,53.85,"High study time"
"L0020","Mexico","Oceania","Engineer","Finance","Power Bi","Beginner",11,8.2,14,69,69,65.1,"Dropped",FALSE,FALSE,TRUE,FALSE,FALSE,"Instructor-Led","Lower-Middle",FALSE,7.6,FALSE,-3.90000000000001,"High study time"
"L0021","India","Africa","Analyst","Healthcare","Google Sheets","Beginner",4,11.7,34,89,70,100,"Completed",TRUE,FALSE,FALSE,TRUE,TRUE,"Instructor-Led","Low",TRUE,9.7,TRUE,30,"High study time"
"L0024","Nigeria","Asia","Manager","Education","Google Sheets","Beginner",7,9,17,73,21,88.5,"Completed",FALSE,FALSE,FALSE,FALSE,FALSE,"Hybrid","Low",FALSE,4.1,TRUE,67.5,"High study time"
"L0025","China","Asia","Analyst","Finance","Spreadsheet","Beginner",11,10,12,41,48,100,"Completed",FALSE,FALSE,TRUE,FALSE,TRUE,"Hybrid","High",TRUE,16.5,TRUE,52,"High study time"
"L0026","Canada","Africa","Analyst","Healthcare","Manual Reporting","Beginner",3,12.1,18,59,27,75.05,"Completed",FALSE,FALSE,TRUE,TRUE,TRUE,"Hybrid","Low",FALSE,17.2,FALSE,48.05,"High study time"
"L0027","Japan","Europe","Analyst","Tech","Ms Excel","Advanced",6,3,28,98,47,66.5,"In Progress",FALSE,TRUE,TRUE,TRUE,TRUE,"Instructor-Led","Low",FALSE,17.9,FALSE,19.5,"Low study time"
"L0028","South Korea","Africa","Student","Education","Power Bi","Beginner",9,17.3,35,NA,39,100,"Dropped",FALSE,FALSE,TRUE,TRUE,FALSE,"Hybrid","Low",FALSE,18.6,TRUE,61,"High study time"
"L0029","Norway","Asia","Consultant","Finance","Ms Excel","Advanced",10,13.3,17,58,51,92.65,"In Progress",FALSE,TRUE,TRUE,FALSE,FALSE,"Hybrid","Lower-Middle",TRUE,22.1,TRUE,41.65,"High study time"
"L0032","India","Asia","Manager","Retail","Spreadsheet","Intermediate",12,12.9,22,98,76,80.45,"Paused",TRUE,FALSE,FALSE,TRUE,FALSE,"Instructor-Led","Low",FALSE,9.7,TRUE,4.45,"High study time"
"L0033","Canada","Europe","Engineer","Government","Spreadsheet","Beginner",7,1.9,37,72,52,65.95,"Dropped",FALSE,TRUE,TRUE,TRUE,TRUE,"Hybrid","Low",FALSE,17.2,FALSE,13.95,"Low study time"
"L0033","Australia","Africa","Manager","Retail","Excel","Intermediate",2,12.2,29,61,64,77.1,"Paused",FALSE,TRUE,FALSE,TRUE,TRUE,"Hybrid","Upper-Middle",FALSE,15.9,FALSE,13.1,"High study time"
"L0035","United States","North America","Consultant","Education","Power Bi","Beginner",2,11.8,44,61,42,97.9,"In Progress",TRUE,TRUE,TRUE,TRUE,TRUE,"Hybrid","Upper-Middle",TRUE,24.2,TRUE,55.9,"High study time"
"L0036","Switzerland","North America","Manager","Retail","Excel","Beginner",5,4.8,20,90,65,74.4,"Dropped",FALSE,FALSE,TRUE,FALSE,FALSE,"Hybrid","Low",TRUE,19.7,FALSE,9.40000000000001,"Moderate study time"
"L0037","Australia","North America","Manager","Education","Excel","Advanced",8,15.2,11,94,62,67.6,"In Progress",FALSE,TRUE,FALSE,TRUE,TRUE,"Hybrid","Lower-Middle",FALSE,15.9,FALSE,5.59999999999999,"High study time"
"L0038","Denmark","Oceania","Consultant","Retail","Excel","Beginner",8,6.1,38,70,67,80.05,"In Progress",TRUE,TRUE,FALSE,TRUE,TRUE,"Instructor-Led","Low",FALSE,23.5,TRUE,13.05,"Moderate study time"
"L0039","Norway","Africa","Engineer","Tech","Power Bi","Beginner",10,10.6,16,85,22,91.3,"In Progress",TRUE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Low",FALSE,22.1,TRUE,69.3,"High study time"
"L0040","Denmark","Europe","Clerk","Healthcare","Spreadsheet","Intermediate",6,5.6,22,NA,47,100,"Completed",TRUE,TRUE,TRUE,FALSE,FALSE,"Self-Paced","Upper-Middle",FALSE,23.5,TRUE,53,"Moderate study time"
"L0042","Germany","South America","Consultant","Tech","Excel","Beginner",10,16.1,30,89,28,59.05,"Dropped",TRUE,FALSE,TRUE,TRUE,TRUE,"Hybrid","Low",FALSE,21.8,FALSE,31.05,"High study time"
"L0044","Singapore","Africa","Clerk","Tech","Spreadsheet","Beginner",12,10.7,12,55,31,98.35,"Completed",TRUE,FALSE,TRUE,FALSE,TRUE,"Instructor-Led","High",TRUE,20.4,TRUE,67.35,"High study time"
"L0047","Denmark","South America","Student","Education","Power Bi","Intermediate",9,10.7,28,69,45,57.35,"Paused",FALSE,TRUE,FALSE,FALSE,FALSE,"Self-Paced","Low",TRUE,23.5,FALSE,12.35,"High study time"
"L0048","Switzerland","Europe","Engineer","Retail","Google Sheets","Beginner",4,9,14,67,26,95.5,"Dropped",FALSE,FALSE,FALSE,FALSE,FALSE,"Hybrid","Low",FALSE,19.7,TRUE,69.5,"High study time"
"L0049","Denmark","Oceania","Student","Education","Spreadsheet","Advanced",12,14,12,73,75,77,"Paused",FALSE,TRUE,FALSE,FALSE,TRUE,"Hybrid","Low",FALSE,23.5,FALSE,2,"High study time"
"L0050","Brazil","North America","Manager","Tech","Excel","Intermediate",5,13.9,29,NA,24,72.95,"Completed",TRUE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","Upper-Middle",FALSE,8.9,FALSE,48.95,"High study time"
"L0051","United States","South America","Analyst","Finance","Spreadsheet","Beginner",6,16.8,13,68,43,64.4,"Completed",TRUE,FALSE,FALSE,TRUE,FALSE,"Hybrid","Upper-Middle",FALSE,24.2,FALSE,21.4,"High study time"
"L0052","Germany","Africa","Student","Education","Spreadsheet","Beginner",12,7.6,36,69,68,93.8,"Dropped",TRUE,TRUE,TRUE,FALSE,FALSE,"Instructor-Led","Lower-Middle",TRUE,21.8,TRUE,25.8,"Moderate study time"
"L0053","Netherlands","Oceania","Consultant","Finance","Spreadsheet","Advanced",1,12,35,49,43,74,"In Progress",FALSE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Low",FALSE,13.4,FALSE,31,"High study time"
"L0054","Ireland","Africa","Clerk","Finance","Spreadsheet","Beginner",8,13.9,21,81,27,77.95,"Completed",TRUE,FALSE,FALSE,TRUE,FALSE,"Self-Paced","Upper-Middle",TRUE,25.8,FALSE,50.95,"High study time"
"L0055","Japan","South America","Engineer","Finance","Google Sheets","Intermediate",2,8.7,44,97,30,65.35,"Dropped",FALSE,FALSE,FALSE,TRUE,FALSE,"Instructor-Led","Low",TRUE,17.9,FALSE,35.35,"High study time"
"L0056","United Kingdom","Europe","Engineer","Retail","Excel","Beginner",7,6.8,5,67,64,67.4,"Completed",TRUE,TRUE,FALSE,FALSE,FALSE,"Hybrid","Lower-Middle",TRUE,24.9,FALSE,3.40000000000001,"Moderate study time"
"L0057","Ireland","North America","Analyst","Education","Power Bi","Beginner",9,4.4,15,54,37,88.2,"Completed",FALSE,FALSE,TRUE,TRUE,TRUE,"Hybrid","Low",TRUE,25.8,TRUE,51.2,"Moderate study time"
"L0058","France","Asia","Engineer","Retail","Excel","Advanced",4,11.8,17,90,79,60.9,"In Progress",TRUE,TRUE,TRUE,FALSE,FALSE,"Instructor-Led","Lower-Middle",FALSE,14.1,FALSE,-18.1,"High study time"
"L0060","Singapore","Europe","Clerk","Healthcare","Excel","Intermediate",8,10.2,11,77,45,63.1,"Completed",FALSE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Low",TRUE,20.4,FALSE,18.1,"High study time"
"L0061","Canada","Asia","Analyst","Retail","Ms Excel","Beginner",7,11.7,41,45,78,63.85,"Completed",TRUE,TRUE,FALSE,FALSE,FALSE,"Instructor-Led","Upper-Middle",TRUE,17.2,FALSE,-14.15,"High study time"
"L0062","Ireland","North America","Consultant","Healthcare","Ms Excel","Beginner",11,5.9,41,46,46,70.95,"Completed",FALSE,TRUE,FALSE,TRUE,FALSE,"Instructor-Led","Low",FALSE,25.8,FALSE,24.95,"Moderate study time"
"L0063","Singapore","Oceania","Engineer","Government","Power Bi","Beginner",7,15.2,39,81,77,98.6,"Completed",FALSE,FALSE,TRUE,TRUE,TRUE,"Hybrid","Lower-Middle",TRUE,20.4,TRUE,21.6,"High study time"
"L0064","Denmark","South America","Student","Healthcare","Manual Reporting","Beginner",8,12.7,29,70,68,80.35,"In Progress",FALSE,TRUE,TRUE,TRUE,FALSE,"Instructor-Led","High",TRUE,23.5,TRUE,12.35,"High study time"
"L0065","Netherlands","Asia","Clerk","Education","Excel","Intermediate",10,9.6,5,51,35,71.8,"In Progress",TRUE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Lower-Middle",FALSE,13.4,FALSE,36.8,"High study time"
"L0066","Germany","Oceania","Engineer","Healthcare","Spreadsheet","Beginner",8,10.3,43,62,50,90.15,"Completed",FALSE,TRUE,FALSE,FALSE,FALSE,"Self-Paced","High",FALSE,21.8,TRUE,40.15,"High study time"
"L0067","Netherlands","South America","Engineer","Retail","Ms Excel","Beginner",9,15.2,28,59,72,64.6,"Completed",TRUE,FALSE,FALSE,TRUE,FALSE,"Instructor-Led","High",FALSE,13.4,FALSE,-7.40000000000001,"High study time"
"L0068","Netherlands","Asia","Engineer","Education","Google Sheets","Advanced",7,10.5,33,92,33,78.25,"In Progress",FALSE,FALSE,FALSE,TRUE,FALSE,"Hybrid","Lower-Middle",TRUE,13.4,FALSE,45.25,"High study time"
"L0069","Australia","Europe","Clerk","Healthcare","Ms Excel","Beginner",4,20.4,23,73,25,88.2,"Dropped",TRUE,FALSE,TRUE,FALSE,FALSE,"Hybrid","Low",FALSE,15.9,TRUE,63.2,"High study time"
"L0070","Germany","Africa","Clerk","Finance","Excel","Advanced",10,16.1,12,47,25,100,"Completed",TRUE,TRUE,TRUE,TRUE,FALSE,"Hybrid","Low",TRUE,21.8,TRUE,75,"High study time"
"L0071","France","South America","Clerk","Finance","Spreadsheet","Intermediate",1,9,36,NA,32,59.5,"Completed",FALSE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Lower-Middle",FALSE,14.1,FALSE,27.5,"High study time"
"L0072","China","North America","Engineer","Tech","Manual Reporting","Advanced",7,7.7,34,41,52,58.85,"Completed",TRUE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","High",FALSE,16.5,FALSE,6.85,"Moderate study time"
"L0073","Canada","Oceania","Student","Healthcare","Spreadsheet","Beginner",1,14.6,35,65,57,77.3,"In Progress",FALSE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Lower-Middle",FALSE,17.2,FALSE,20.3,"High study time"
"L0075","Switzerland","Europe","Clerk","Healthcare","Power Bi","Advanced",5,14.7,17,73,78,78.35,"Completed",TRUE,FALSE,FALSE,TRUE,FALSE,"Self-Paced","High",FALSE,19.7,FALSE,0.349999999999994,"High study time"
"L0076","Denmark","South America","Manager","Finance","Google Sheets","Intermediate",2,8.1,28,90,59,95.05,"Dropped",FALSE,FALSE,FALSE,FALSE,TRUE,"Instructor-Led","High",TRUE,23.5,TRUE,36.05,"High study time"
"L0077","Singapore","Africa","Engineer","Education","Excel","Advanced",12,12.4,38,87,52,60.2,"In Progress",FALSE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Low",FALSE,20.4,FALSE,8.2,"High study time"
"L0078","South Korea","North America","Student","Retail","Ms Excel","Advanced",7,11.7,26,80,57,90.85,"Completed",FALSE,TRUE,TRUE,TRUE,TRUE,"Self-Paced","Lower-Middle",FALSE,18.6,TRUE,33.85,"High study time"
"L0079","Singapore","South America","Engineer","Healthcare","Excel","Intermediate",7,15.9,12,99,71,89.95,"Paused",TRUE,FALSE,FALSE,FALSE,FALSE,"Instructor-Led","Lower-Middle",TRUE,20.4,TRUE,18.95,"High study time"
"L0080","Ireland","Africa","Manager","Government","Spreadsheet","Beginner",7,13,25,95,74,78.5,"Dropped",TRUE,TRUE,FALSE,FALSE,FALSE,"Instructor-Led","Lower-Middle",TRUE,25.8,FALSE,4.5,"High study time"
"L0081","Denmark","Europe","Student","Healthcare","Google Sheets","Intermediate",5,10.6,21,50,48,81.3,"Completed",TRUE,TRUE,FALSE,FALSE,FALSE,"Instructor-Led","Low",TRUE,23.5,TRUE,33.3,"High study time"
"L0082","Canada","Europe","Engineer","Tech","Manual Reporting","Beginner",7,10.8,23,89,64,70.4,"Completed",TRUE,FALSE,FALSE,FALSE,FALSE,"Self-Paced","Lower-Middle",TRUE,17.2,FALSE,6.40000000000001,"High study time"
"L0083","Germany","Africa","Consultant","Healthcare","Ms Excel","Beginner",1,12.8,20,92,50,82.4,"Completed",TRUE,TRUE,FALSE,TRUE,TRUE,"Hybrid","High",FALSE,21.8,TRUE,32.4,"High study time"
"L0084","Australia","North America","Engineer","Education","Google Sheets","Intermediate",3,9.5,44,51,72,58.75,"Completed",FALSE,TRUE,FALSE,FALSE,FALSE,"Hybrid","Low",TRUE,15.9,FALSE,-13.25,"High study time"
"L0085","Ireland","Africa","Analyst","Tech","Google Sheets","Intermediate",3,12.9,6,88,60,100,"Dropped",FALSE,FALSE,FALSE,FALSE,TRUE,"Hybrid","High",FALSE,25.8,TRUE,40,"High study time"
"L0086","Germany","Oceania","Consultant","Education","Excel","Intermediate",9,6.4,38,89,52,56.2,"Dropped",TRUE,FALSE,TRUE,TRUE,FALSE,"Hybrid","Lower-Middle",TRUE,21.8,FALSE,4.2,"Moderate study time"
"L0087","Nigeria","North America","Clerk","Education","Spreadsheet","Beginner",4,10.3,45,40,77,98.15,"In Progress",FALSE,TRUE,FALSE,TRUE,TRUE,"Self-Paced","High",TRUE,4.1,TRUE,21.15,"High study time"
"L0088","India","Europe","Clerk","Healthcare","Spreadsheet","Intermediate",12,15.7,12,57,68,95.85,"Dropped",FALSE,FALSE,FALSE,FALSE,FALSE,"Self-Paced","Low",FALSE,9.7,TRUE,27.85,"High study time"
"L0090","United Kingdom","Europe","Analyst","Education","Manual Reporting","Beginner",5,16.8,25,92,44,77.4,"Dropped",TRUE,FALSE,TRUE,TRUE,FALSE,"Self-Paced","Upper-Middle",FALSE,24.9,FALSE,33.4,"High study time"
"L0091","Ireland","Oceania","Clerk","Government","Google Sheets","Beginner",11,12.1,35,82,44,58.05,"Paused",FALSE,FALSE,TRUE,FALSE,TRUE,"Instructor-Led","Low",FALSE,25.8,FALSE,14.05,"High study time"
"L0092","China","Europe","Engineer","Finance","Ms Excel","Intermediate",1,15.9,36,90,46,60.95,"Dropped",TRUE,TRUE,FALSE,FALSE,TRUE,"Self-Paced","Low",TRUE,16.5,FALSE,14.95,"High study time"
"L0093","Singapore","Asia","Engineer","Finance","Excel","Intermediate",3,13.3,28,97,57,58.65,"Dropped",TRUE,FALSE,FALSE,TRUE,FALSE,"Self-Paced","Upper-Middle",FALSE,20.4,FALSE,1.65,"High study time"
"L0094","China","North America","Clerk","Tech","Spreadsheet","Beginner",7,9.7,40,69,52,89.85,"In Progress",FALSE,FALSE,FALSE,FALSE,TRUE,"Hybrid","Low",TRUE,16.5,TRUE,37.85,"High study time"
"L0096","United Kingdom","Europe","Analyst","Healthcare","Ms Excel","Intermediate",9,15.7,11,91,28,96.85,"Paused",FALSE,FALSE,TRUE,FALSE,TRUE,"Instructor-Led","Upper-Middle",FALSE,24.9,TRUE,68.85,"High study time"
"L0097","Australia","South America","Consultant","Retail","Power Bi","Intermediate",4,8.1,18,65,27,82.05,"In Progress",TRUE,FALSE,TRUE,TRUE,TRUE,"Self-Paced","High",FALSE,15.9,TRUE,55.05,"High study time"
"L0098","Ireland","South America","Analyst","Tech","Spreadsheet","Beginner",2,13,37,64,27,57.5,"Completed",TRUE,FALSE,FALSE,TRUE,FALSE,"Self-Paced","Lower-Middle",TRUE,25.8,FALSE,30.5,"High study time"
"L0100","Switzerland","Africa","Engineer","Tech","Excel","Advanced",5,12.7,13,91,43,100,"In Progress",FALSE,TRUE,TRUE,FALSE,FALSE,"Hybrid","High",FALSE,19.7,TRUE,57,"High study time"
"L0101","South Korea","Oceania","Student","Education","Power Bi","Beginner",4,14.7,42,NA,65,63.35,"Completed",FALSE,TRUE,TRUE,TRUE,FALSE,"Self-Paced","Low",TRUE,18.6,FALSE,-1.65,"High study time"
"L0102","Norway","Oceania","Clerk","Tech","Manual Reporting","Intermediate",5,17.4,29,41,25,100,"Completed",TRUE,TRUE,FALSE,TRUE,FALSE,"Hybrid","Lower-Middle",FALSE,22.1,TRUE,75,"High study time"
"L0103","Switzerland","South America","Engineer","Healthcare","Manual Reporting","Intermediate",3,12.8,31,93,46,79.4,"Completed",TRUE,TRUE,FALSE,FALSE,TRUE,"Self-Paced","Upper-Middle",TRUE,19.7,FALSE,33.4,"High study time"
"L0104","Mexico","Oceania","Clerk","Finance","Ms Excel","Beginner",8,5.2,30,49,52,57.6,"Dropped",TRUE,FALSE,FALSE,FALSE,FALSE,"Instructor-Led","Lower-Middle",FALSE,7.6,FALSE,5.6,"Moderate study time"
"L0106","India","Asia","Manager","Tech","Spreadsheet","Intermediate",7,15.3,11,74,67,68.65,"Completed",TRUE,FALSE,FALSE,FALSE,FALSE,"Hybrid","Low",FALSE,9.7,FALSE,1.65000000000001,"High study time"
"L0107","Indonesia","South America","Student","Retail","Power Bi","Beginner",7,7.9,24,86,26,53.95,"Paused",FALSE,TRUE,TRUE,FALSE,FALSE,"Self-Paced","Lower-Middle",FALSE,6.8,FALSE,27.95,"Moderate study time"
"L0108","South Korea","Oceania","Clerk","Government","Spreadsheet","Beginner",11,10.7,21,58,31,84.35,"Dropped",FALSE,FALSE,FALSE,FALSE,FALSE,"Instructor-Led","Low",TRUE,18.6,TRUE,53.35,"High study time"
"L0110","United Kingdom","Africa","Student","Government","Google Sheets","Advanced",7,2.7,6,40,51,83.35,"Completed",FALSE,FALSE,FALSE,TRUE,TRUE,"Hybrid","Lower-Middle",TRUE,24.9,TRUE,32.35,"Low study time"
"L0110","Indonesia","Europe","Analyst","Education","Spreadsheet","Beginner",7,15.2,37,92,33,100,"In Progress",TRUE,TRUE,FALSE,TRUE,TRUE,"Hybrid","Upper-Middle",FALSE,6.8,TRUE,67,"High study time"
"L0112","Norway","Oceania","Analyst","Education","Excel","Beginner",2,8,11,NA,24,60,"Completed",TRUE,TRUE,TRUE,TRUE,FALSE,"Instructor-Led","Low",TRUE,22.1,FALSE,36,"High study time"
"L0113","United States","Europe","Analyst","Government","Spreadsheet","Intermediate",7,6.6,24,69,57,85.3,"Completed",FALSE,FALSE,TRUE,TRUE,TRUE,"Instructor-Led","Low",FALSE,24.2,TRUE,28.3,"Moderate study time"
"L0114","Mexico","Asia","Analyst","Retail","Manual Reporting","Intermediate",6,9.1,32,97,70,67.55,"In Progress",TRUE,FALSE,FALSE,TRUE,TRUE,"Self-Paced","Low",FALSE,7.6,FALSE,-2.45,"High study time"
"L0115","France","Europe","Manager","Healthcare","Spreadsheet","Beginner",1,9.9,24,NA,40,54.95,"Paused",TRUE,FALSE,TRUE,TRUE,FALSE,"Self-Paced","Low",TRUE,14.1,FALSE,14.95,"High study time"
"L0116","United Kingdom","Asia","Manager","Government","Spreadsheet","Beginner",1,13.1,27,47,42,100,"In Progress",TRUE,TRUE,TRUE,TRUE,TRUE,"Instructor-Led","Low",FALSE,24.9,TRUE,58,"High study time"
"L0117","Japan","Asia","Student","Retail","Google Sheets","Beginner",4,5.7,30,72,38,73.85,"Completed",FALSE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Lower-Middle",TRUE,17.9,FALSE,35.85,"Moderate study time"
"L0118","Mexico","North America","Analyst","Finance","Spreadsheet","Intermediate",7,7.5,39,74,76,94.75,"Completed",TRUE,FALSE,TRUE,TRUE,FALSE,"Hybrid","Low",FALSE,7.6,TRUE,18.75,"Moderate study time"
"L0119","South Korea","Asia","Manager","Education","Manual Reporting","Beginner",4,9.8,22,81,69,68.9,"Completed",TRUE,FALSE,FALSE,TRUE,FALSE,"Hybrid","Upper-Middle",TRUE,18.6,FALSE,-0.0999999999999943,"High study time"
"L0120","Germany","Africa","Engineer","Finance","Excel","Beginner",5,12.2,28,59,51,100,"Paused",TRUE,FALSE,FALSE,TRUE,TRUE,"Self-Paced","High",TRUE,21.8,TRUE,49,"High study time"
"L0121","China","Oceania","Analyst","Government","Spreadsheet","Beginner",12,16.2,26,81,50,65.1,"Completed",TRUE,FALSE,FALSE,TRUE,TRUE,"Self-Paced","Low",TRUE,16.5,FALSE,15.1,"High study time"
"L0122","Norway","North America","Clerk","Education","Google Sheets","Intermediate",2,9.9,19,70,78,65.95,"Dropped",TRUE,FALSE,FALSE,FALSE,FALSE,"Hybrid","Upper-Middle",TRUE,22.1,FALSE,-12.05,"High study time"
"L0123","Norway","Europe","Clerk","Government","Google Sheets","Beginner",9,13.2,31,NA,79,100,"In Progress",TRUE,FALSE,TRUE,TRUE,FALSE,"Instructor-Led","High",FALSE,22.1,TRUE,21,"High study time"
"L0124","Denmark","South America","Consultant","Healthcare","Spreadsheet","Beginner",3,16.5,17,66,58,77.25,"In Progress",TRUE,TRUE,FALSE,TRUE,TRUE,"Hybrid","Lower-Middle",FALSE,23.5,FALSE,19.25,"High study time"
"L0125","Singapore","Asia","Student","Finance","Spreadsheet","Beginner",12,0.9,25,88,21,53.45,"In Progress",TRUE,TRUE,TRUE,TRUE,TRUE,"Instructor-Led","Lower-Middle",TRUE,20.4,FALSE,32.45,"Low study time"
"L0127","United Kingdom","South America","Manager","Retail","Spreadsheet","Intermediate",6,15.2,7,96,72,71.6,"Paused",FALSE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Upper-Middle",FALSE,24.9,FALSE,-0.400000000000006,"High study time"
"L0129","Ireland","South America","Engineer","Healthcare","Excel","Beginner",1,15,27,86,55,94.5,"In Progress",FALSE,FALSE,FALSE,TRUE,FALSE,"Hybrid","High",FALSE,25.8,TRUE,39.5,"High study time"
"L0130","Canada","Africa","Manager","Education","Power Bi","Intermediate",9,11.2,33,41,62,79.6,"Dropped",TRUE,TRUE,TRUE,FALSE,TRUE,"Self-Paced","Upper-Middle",TRUE,17.2,FALSE,17.6,"High study time"
"L0131","China","Oceania","Analyst","Retail","Google Sheets","Beginner",7,15.4,27,69,27,58.7,"In Progress",FALSE,FALSE,TRUE,FALSE,FALSE,"Self-Paced","High",TRUE,16.5,FALSE,31.7,"High study time"
"L0132","India","Africa","Manager","Government","Google Sheets","Beginner",7,12.6,26,70,37,100,"In Progress",TRUE,FALSE,TRUE,FALSE,FALSE,"Hybrid","Lower-Middle",TRUE,9.7,TRUE,63,"High study time"
"L0133","Canada","Europe","Consultant","Finance","Power Bi","Intermediate",1,10.6,22,42,55,75.3,"Dropped",FALSE,FALSE,FALSE,TRUE,TRUE,"Hybrid","High",TRUE,17.2,FALSE,20.3,"High study time"
"L0134","France","Europe","Manager","Tech","Excel","Intermediate",7,12.4,27,73,66,75.2,"Completed",TRUE,FALSE,TRUE,TRUE,TRUE,"Self-Paced","Low",FALSE,14.1,FALSE,9.2,"High study time"
"L0135","Japan","Oceania","Consultant","Government","Spreadsheet","Intermediate",12,10.2,27,NA,55,75.1,"In Progress",FALSE,TRUE,TRUE,TRUE,FALSE,"Instructor-Led","Lower-Middle",FALSE,17.9,FALSE,20.1,"High study time"
"L0137","Netherlands","Asia","Analyst","Tech","Spreadsheet","Beginner",10,17,37,44,45,67.5,"Completed",FALSE,TRUE,FALSE,TRUE,FALSE,"Instructor-Led","High",TRUE,13.4,FALSE,22.5,"High study time"
