learner_id,learner_name,country,region,job_role,industry,background,excel_years,r_experience_level,enrolment_date,first_login_date,week,study_hours,lessons_completed,confidence_score,pre_assessment_score,project_score,first_script_completed,used_rstudio,used_quarto,used_git,used_renv,preferred_learning_mode,monthly_income_band,completion_status,manager_support,notes,payment_probability_score
L0029,Learner_029,norway,Asia,Consultant, Finance ,MS Excel,7.1,Advanced,07/27/2025,08/01/2025,10,13.3,17,58,51,92.65,N,Y,Y,FALSE,N,Hybrid,Lower-Middle,In Progress,TRUE,NA,22.1
L0030,Learner_030,UNITED KINGDOM,North America, Analyst , Healthcare , google sheets ,5.7,Intermediate,2025-04-19,04/29/2025,7,14.4,20,NA,50,NA,1,FALSE,No,N,Yes,Instructor-led,Lower-Middle,Paused,0,Struggling,24.9
L0030,Learner_031,MEXICO,Asia,Student, Healthcare ,excel,1.4,Beginner,02/08/2025,2025-02-18,1,13.9,25,48,26,NA,1,TRUE,TRUE,No,Y,Hybrid,Lower-Middle,Completed,Yes,Needs support,7.6
L0032,Learner_032,India,Asia,Manager,Retail,Spreadsheet,3,Intermediate,03 Apr 2025,2025-04-03,12,12.9,22,98,76,80.45,Yes,N,0,Yes,0,Instructor-led,Low,Paused,No,NA,9.7
L0033,Learner_033,canada,Europe,Engineer,Government,spreadsheet,3.9,Beginner,2025-11-17,21-11-2025,7,1.9,37,72,52,65.95,0,1,1,Yes,TRUE,Hybrid,Low,Dropped,0,NA,17.2
L0033,Learner_034,AUSTRALIA,Africa, Manager , Retail ,excel,5.2,Intermediate,12/25/2025,12/31/2025,2,12.2,29,61,64,77.1,0,TRUE,N,TRUE,TRUE,Hybrid,Upper-Middle, Paused ,FALSE,NA,15.9
L0035,Learner_035, united states ,North America,Consultant,Education,power bi,5.9,Beginner,27 Sep 2025,NA,2,11.8,44,61,42,97.9,Yes,TRUE,1,Yes,Y,Hybrid,Upper-Middle,In Progress,TRUE,NA,24.2
L0036,Learner_036,Switzerland,North America,Manager, Retail , Excel ,3.1,Beginner,2025-07-02,10 Jul 2025,5,4.8,20,90,65,74.4,No,N,1,0,N,Hybrid,Low, Dropped ,Yes,Struggling,19.7
L0037,Learner_037,australia,North America,Manager,Education, Excel ,3.6,Advanced,12 Nov 2025,NA,8,15.2,11,94,62,67.6,FALSE,Y,FALSE,Yes,Y,Hybrid,Lower-Middle, In Progress ,FALSE,Good progress,15.9
L0038,Learner_038,denmark,Oceania, Consultant ,Retail,excel,9.3,Beginner,13-08-2025,22 Aug 2025,8,6.1,38,70,67,80.05,TRUE,1,N,Y,TRUE,Instructor-led,Low, In Progress ,0,Good progress,23.5
L0039,Learner_039,NORWAY,Africa,Engineer,Tech,power bi,5.4,Beginner,14-08-2025,14 Aug 2025,10,10.6,16,85,22,91.3,Y,1,N,0,1,Instructor-led,Low, In Progress ,0,NA,22.1
L0040,Learner_040,denmark,Europe, Clerk ,Healthcare,spreadsheet,5.9,Intermediate,29-11-2025,12/06/2025,6,5.6,22,NA,47,100,1,1,1,FALSE,0,Self-paced,Upper-Middle,Completed,N,Good progress,23.5
L0041,Learner_041,United Kingdom,South America,Student,Government,power bi,2.5,Beginner,04/22/2025,27 Apr 2025,10,10,14,NA,26,NA,0,Yes,No,No,1,Self-paced,Upper-Middle,Completed,FALSE,NA,24.9
L0042,Learner_042,Germany,South America, Consultant ,Tech,excel,3.9,Beginner,14-02-2025,2025-02-22,10,16.1,30,89,28,59.05,1,N,Y,Yes,Y,Hybrid,Low,Dropped,No,Fast learner,21.8
L0043,Learner_043,Germany,Asia, Student ,Tech, Power BI ,6.5,Intermediate,01-06-2025,06/01/2025,5,11.8,39,86,51,NA,FALSE,Y,TRUE,TRUE,1,Hybrid,Upper-Middle,Completed,FALSE,Fast learner,21.8
L0044,Learner_044,Singapore,Africa,Clerk, Tech , spreadsheet ,3.7,Beginner,17-01-2025,24-01-2025,12,10.7,12,55,31,98.35,1,No,TRUE,No,Y,Instructor-led,High, Completed ,Yes,NA,20.4
L0045,Learner_045, united kingdom ,Asia, Engineer , Government ,Power BI,4.7,Beginner,06/02/2025,04 Jun 2025,5,17.3,35,64,47,NA,0,Y,No,FALSE,1,Hybrid,Low, Completed ,TRUE,Good progress,24.9
L0046,Learner_046, ireland ,Africa,Analyst, Education ,excel,1.8,Beginner,10/03/2025,12-10-2025,2,17.6,22,77,25,NA,FALSE,Y,No,No,0,Hybrid,Lower-Middle, Completed ,0,Good progress,25.8
L0047,Learner_047,denmark,South America,Student,Education,power bi,4.8,Intermediate,2025-02-21,25-02-2025,9,10.7,28,69,45,57.35,N,TRUE,0,No,N,Self-paced,Low,Paused,1,Fast learner,23.5
L0048,Learner_048,Switzerland,Europe, Engineer ,Retail,google sheets,9.3,Beginner,30-04-2025,09-05-2025,4,9,14,67,26,95.5,N,N,No,FALSE,N,Hybrid,Low,Dropped,N,Struggling,19.7
L0049,Learner_049, Denmark ,Oceania,Student,Education,SpreadSheet,0.3,Advanced,18-10-2025,18-10-2025,12,14,12,73,75,77,N,Y,No,N,TRUE,Hybrid,Low, Paused ,FALSE,Fast learner,23.5
L0050,Learner_050,brazil,North America,Manager,Tech,excel,3.8,Intermediate,11/30/2025,30-11-2025,5,13.9,29,NA,24,72.95,Y,N,TRUE,N,Y,Self-paced,Upper-Middle,Completed,FALSE,Struggling,8.9
L0051,Learner_051,united states,South America,Analyst,Finance,SpreadSheet,2.5,Beginner,19-05-2025,23 May 2025,6,16.8,13,68,43,64.4,Y,0,0,Y,FALSE,Hybrid,Upper-Middle,Completed,No,Fast learner,24.2
L0052,Learner_052,GERMANY,Africa,Student,Education,spreadsheet,5.8,Beginner,2025-05-12,21 May 2025,12,7.6,36,69,68,93.8,Y,Y,TRUE,0,FALSE,Instructor-led,Lower-Middle,Dropped,Yes,Fast learner,21.8
L0053,Learner_053,Netherlands,Oceania,Consultant, Finance ,spreadsheet,0.7,Advanced,2025-12-04,13-12-2025,1,12,35,49,43,74,FALSE,0,N,0,1,Self-paced,Low, In Progress ,FALSE,NA,13.4
L0054,Learner_054,ireland,Africa, Clerk ,Finance,Spreadsheet,6.5,Beginner,09/01/2025,NA,8,13.9,21,81,27,77.95,Yes,No,0,1,No,Self-paced,Upper-Middle,Completed,1,NA,25.8
L0055,Learner_055,japan,South America, Engineer ,Finance,Google Sheets,0.5,Intermediate,15-02-2025,23 Feb 2025,2,8.7,44,97,30,65.35,No,No,No,1,FALSE,Instructor-led,Low,Dropped,TRUE,NA,17.9
L0056,Learner_056,United Kingdom,Europe, Engineer ,Retail,Excel,2.9,Beginner,19 Apr 2025,22 Apr 2025,7,6.8,5,67,64,67.4,Yes,1,N,FALSE,FALSE,Hybrid,Lower-Middle,Completed,Y,Good progress,24.9
L0057,Learner_057,ireland,North America,Analyst, Education ,power bi,3.1,Beginner,2025-02-05,02/15/2025,9,4.4,15,54,37,88.2,FALSE,No,Y,Yes,TRUE,Hybrid,Low, Completed ,Yes,NA,25.8
L0058,Learner_058, france ,Asia, Engineer ,Retail,excel,4.4,Advanced,2025-08-19,2025-08-21,4,11.8,17,90,79,60.9,Yes,Y,Yes,No,0,Instructor-led,Lower-Middle, In Progress ,N,NA,14.1
L0059,Learner_059,INDIA,Europe,Engineer,Healthcare,Manual Reporting,4.4,Intermediate,03/08/2025,NA,4,11.8,20,51,72,NA,Y,1,1,TRUE,TRUE,Self-paced,High,In Progress,No,Fast learner,9.7
L0060,Learner_060, Singapore ,Europe,Clerk,Healthcare,Excel,9.9,Intermediate,12/26/2025,2025-12-26,8,10.2,11,77,45,63.1,N,N,N,0,Yes,Self-paced,Low,Completed,TRUE,Needs support,20.4
L0061,Learner_061,canada,Asia,Analyst, Retail ,MS Excel,6.1,Beginner,2025-04-29,05/05/2025,7,11.7,41,45,78,63.85,Y,Y,0,N,0,Instructor-led,Upper-Middle,Completed,1,NA,17.2
L0062,Learner_062, IRELAND ,North America, Consultant ,Healthcare,MS Excel,3.2,Beginner,28 Mar 2025,NA,11,5.9,41,46,46,70.95,FALSE,1,No,Y,0,Instructor-led,Low,Completed,N,Struggling,25.8
L0063,Learner_063,Singapore,Oceania,Engineer,Government,Power BI,8.6,Beginner,2025-12-20,28-12-2025,7,15.2,39,81,77,98.6,0,FALSE,TRUE,Yes,1,Hybrid,Lower-Middle, Completed ,TRUE,Fast learner,20.4
L0064,Learner_064,DENMARK,South America, Student ,Healthcare,Manual Reporting,3.4,Beginner,03/12/2025,18-03-2025,8,12.7,29,70,68,80.35,0,1,Yes,Y,N,Instructor-led,High,In Progress,1,Struggling,23.5
L0065,Learner_065, Netherlands ,Asia, Clerk ,Education, excel ,6.7,Intermediate,28-01-2025,30 Jan 2025,10,9.6,5,51,35,71.8,1,Y,0,N,TRUE,Instructor-led,Lower-Middle,In Progress,No,Needs support,13.4
L0066,Learner_066,germany,Oceania, Engineer , Healthcare ,spreadsheet,9,Beginner,30-06-2025,2025-07-10,8,10.3,43,62,50,90.15,0,1,0,FALSE,No,Self-paced,High, Completed ,N,Good progress,21.8
L0067,Learner_067,netherlands,South America,Engineer,Retail,MS Excel,8.4,Beginner,11-06-2025,2025-06-17,9,15.2,28,59,72,64.6,Y,N,No,TRUE,N,Instructor-led,High,Completed,FALSE,Fast learner,13.4
L0068,Learner_068,netherlands,Asia,Engineer, Education , Google Sheets ,0.9,Advanced,06/30/2025,04 Jul 2025,7,10.5,33,92,33,78.25,N,0,FALSE,Yes,0,Hybrid,Lower-Middle,In Progress,1,Fast learner,13.4
L0069,Learner_069,AUSTRALIA,Europe, Clerk , Healthcare ,MS Excel,3,Beginner,2025-11-06,2025-11-10,4,20.4,23,73,25,88.2,1,N,Y,No,N,Hybrid,Low, Dropped ,0,Struggling,15.9
L0070,Learner_070,germany,Africa,Clerk,Finance,Excel,5.3,Advanced,17 Mar 2025,03/20/2025,10,16.1,12,47,25,100,1,TRUE,Yes,Yes,No,Hybrid,Low,Completed,TRUE,Needs support,21.8
L0071,Learner_071,france,South America,Clerk, Finance ,Spreadsheet,3.8,Intermediate,26 Sep 2025,29-09-2025,1,9,36,NA,32,59.5,N,FALSE,FALSE,FALSE,Y,Self-paced,Lower-Middle, Completed ,FALSE,Good progress,14.1
L0072,Learner_072,china,North America,Engineer,Tech,Manual Reporting,8.5,Advanced,2025-05-20,NA,7,7.7,34,41,52,58.85,Y,0,Y,FALSE,1,Self-paced,High, Completed ,N,NA,16.5
L0073,Learner_073, Canada ,Oceania,Student,Healthcare, spreadsheet ,8.6,Beginner,26 Sep 2025,10/05/2025,1,14.6,35,65,57,77.3,N,TRUE,0,FALSE,Yes,Instructor-led,Lower-Middle, In Progress ,FALSE,Needs support,17.2
L0074,Learner_074,United States,North America,Clerk,Government,MS Excel,6.8,Beginner,11/17/2025,2025-11-18,12,12,18,81,40,NA,1,1,Yes,FALSE,TRUE,Self-paced,Low,In Progress,0,Fast learner,24.2
L0075,Learner_075,Switzerland,Europe,Clerk, Healthcare , Power BI ,5,Advanced,2025-05-04,05/11/2025,5,14.7,17,73,78,78.35,1,0,No,TRUE,0,Self-paced,High,Completed,FALSE,Fast learner,19.7
L0076,Learner_076, Denmark ,South America,Manager,Finance, Google Sheets ,8,Intermediate,02/09/2025,02/18/2025,2,8.1,28,90,59,95.05,FALSE,FALSE,0,FALSE,TRUE,Instructor-led,High,Dropped,TRUE,NA,23.5
L0077,Learner_077,Singapore,Africa,Engineer,Education,excel,0.5,Advanced,04/10/2025,NA,12,12.4,38,87,52,60.2,No,Yes,0,0,TRUE,Instructor-led,Low,In Progress,No,Struggling,20.4
L0078,Learner_078, south korea ,North America,Student,Retail,MS Excel,2.6,Advanced,11-12-2025,2025-12-15,7,11.7,26,80,57,90.85,N,Y,Yes,1,Y,Self-paced,Lower-Middle,Completed,0,Needs support,18.6
L0079,Learner_079,SINGAPORE,South America,Engineer, Healthcare , Excel ,2,Intermediate,03/09/2025,03/19/2025,7,15.9,12,99,71,89.95,TRUE,FALSE,0,0,N,Instructor-led,Lower-Middle, Paused ,1,Struggling,20.4
L0080,Learner_080,ireland,Africa,Manager,Government,Spreadsheet,8.2,Beginner,24-06-2025,29 Jun 2025,7,13,25,95,74,78.5,TRUE,Y,N,No,FALSE,Instructor-led,Lower-Middle,Dropped,TRUE,Fast learner,25.8
L0081,Learner_081,denmark,Europe, Student ,Healthcare, google sheets ,8.4,Intermediate,06/25/2025,06/29/2025,5,10.6,21,50,48,81.3,Yes,Y,N,N,0,Instructor-led,Low, Completed ,TRUE,Needs support,23.5
L0082,Learner_082,Canada,Europe,Engineer,Tech, Manual Reporting ,8.3,Beginner,11/03/2025,NA,7,10.8,23,89,64,70.4,Yes,No,N,N,FALSE,Self-paced,Lower-Middle,Completed,Yes,Good progress,17.2
L0083,Learner_083,germany,Africa,Consultant,Healthcare, MS Excel ,2.7,Beginner,2025-10-28,NA,1,12.8,20,92,50,82.4,TRUE,Yes,N,Yes,TRUE,Hybrid,High, Completed ,N,NA,21.8
L0084,Learner_084,AUSTRALIA,North America, Engineer , Education ,Google Sheets,0.2,Intermediate,2025-05-30,2025-06-08,3,9.5,44,51,72,58.75,No,Yes,0,0,No,Hybrid,Low, Completed ,TRUE,NA,15.9
L0085,Learner_085,Ireland,Africa,Analyst,Tech,google sheets,6.3,Intermediate,03/04/2025,11-03-2025,3,12.9,6,88,60,100,N,N,FALSE,No,1,Hybrid,High,Dropped,FALSE,Struggling,25.8
L0086,Learner_086,GERMANY,Oceania,Consultant,Education,excel,7.5,Intermediate,14-11-2025,2025-11-24,9,6.4,38,89,52,56.2,TRUE,0,Yes,Y,0,Hybrid,Lower-Middle, Dropped ,Yes,Good progress,21.8
L0087,Learner_087,nigeria,North America,Clerk, Education ,Spreadsheet,5.1,Beginner,01/11/2025,18-01-2025,4,10.3,45,40,77,98.15,N,Yes,No,Yes,Y,Self-paced,High, In Progress ,Yes,Good progress,4.1
L0088,Learner_088,INDIA,Europe,Clerk,Healthcare,Spreadsheet,3.6,Intermediate,08/22/2025,08/28/2025,12,15.7,12,57,68,95.85,N,N,No,N,FALSE,Self-paced,Low, Dropped ,0,Fast learner,9.7
L0089,Learner_089,INDIA,Europe,Analyst, Education , SpreadSheet ,3.1,Intermediate,03/30/2025,2025-03-30,1,11.7,36,69,33,NA,1,1,FALSE,1,0,Hybrid,Low, In Progress ,N,NA,9.7
L0090,Learner_090, United Kingdom ,Europe,Analyst,Education,Manual Reporting,3.6,Beginner,2025-10-10,10/16/2025,5,16.8,25,92,44,77.4,Y,0,Yes,1,FALSE,Self-paced,Upper-Middle, Dropped ,FALSE,Needs support,24.9
L0091,Learner_091,IRELAND,Oceania,Clerk, Government ,google sheets,3.6,Beginner,27 Jul 2025,NA,11,12.1,35,82,44,58.05,No,No,Y,0,1,Instructor-led,Low,Paused,0,NA,25.8
L0092,Learner_092,China,Europe,Engineer, Finance ,MS Excel,5.4,Intermediate,2025-12-28,2026-01-04,1,15.9,36,90,46,60.95,Y,Y,FALSE,0,Yes,Self-paced,Low,Dropped,Y,Needs support,16.5
L0093,Learner_093,singapore,Asia,Engineer,Finance, excel ,6.5,Intermediate,31 Mar 2025,04/10/2025,3,13.3,28,97,57,58.65,TRUE,No,0,Yes,No,Self-paced,Upper-Middle, Dropped ,0,Good progress,20.4
L0094,Learner_094,china,North America,Clerk,Tech,Spreadsheet,4,Beginner,16-02-2025,02/22/2025,7,9.7,40,69,52,89.85,0,FALSE,0,0,Yes,Hybrid,Low,In Progress,1,Good progress,16.5
L0094,Learner_095,Norway,Europe,Consultant,Education,spreadsheet,5.8,Intermediate,02 May 2025,2025-05-04,2,15.4,35,NA,52,NA,Yes,1,TRUE,FALSE,Yes,Self-paced,Low, Completed ,No,Fast learner,22.1
L0096,Learner_096,United Kingdom,Europe,Analyst,Healthcare, MS Excel ,7,Intermediate,09/10/2025,13 Sep 2025,9,15.7,11,91,28,96.85,N,No,1,FALSE,Yes,Instructor-led,Upper-Middle,Paused,N,Struggling,24.9
L0097,Learner_097,AUSTRALIA,South America, Consultant ,Retail,Power BI,8.9,Intermediate,03 Nov 2025,05 Nov 2025,4,8.1,18,65,27,82.05,Yes,0,Yes,Y,Y,Self-paced,High,In Progress,0,NA,15.9
L0098,Learner_098,Ireland,South America,Analyst, Tech ,Spreadsheet,9.5,Beginner,2025-02-04,02/04/2025,2,13,37,64,27,57.5,1,0,N,1,N,Self-paced,Lower-Middle,Completed,1,Needs support,25.8
L0098,Learner_099,Switzerland,Oceania,Analyst,Finance,excel,4.2,Advanced,03-08-2025,08-08-2025,11,18,13,41,47,NA,Yes,Y,TRUE,Y,N,Instructor-led,Upper-Middle, In Progress ,1,Needs support,19.7
L0100,Learner_100,switzerland,Africa, Engineer ,Tech, excel ,6.4,Advanced,25-02-2025,02/25/2025,5,12.7,13,91,43,100,No,Yes,TRUE,0,FALSE,Hybrid,High,In Progress,No,Struggling,19.7
L0101,Learner_101, south korea ,Oceania,Student,Education,power bi,1.8,Beginner,2025-04-10,04/17/2025,4,14.7,42,NA,65,63.35,N,Y,Yes,TRUE,No,Self-paced,Low,Completed,Y,Fast learner,18.6
L0102,Learner_102,Norway,Oceania,Clerk,Tech,Manual Reporting,0.8,Intermediate,02 Mar 2025,2025-03-04,5,17.4,29,41,25,100,Yes,Yes,N,TRUE,0,Hybrid,Lower-Middle,Completed,N,Needs support,22.1
L0103,Learner_103,switzerland,South America,Engineer,Healthcare,Manual Reporting,5.7,Intermediate,22 Oct 2025,10/24/2025,3,12.8,31,93,46,79.4,1,Yes,No,FALSE,TRUE,Self-paced,Upper-Middle,Completed,1,Needs support,19.7
L0104,Learner_104, Mexico ,Oceania,Clerk, Finance , MS Excel ,8.2,Beginner,2025-09-30,NA,8,5.2,30,49,52,57.6,TRUE,N,0,No,N,Instructor-led,Lower-Middle, Dropped ,N,Needs support,7.6
L0105,Learner_105,switzerland,Europe,Analyst,Government, Spreadsheet ,7.6,Beginner,05/26/2025,26 May 2025,10,11.2,29,72,52,NA,0,Y,Y,1,TRUE,Hybrid,Low,In Progress,Yes,NA,19.7
L0106,Learner_106,India,Asia,Manager, Tech , SpreadSheet ,5.7,Intermediate,03-10-2025,10/04/2025,7,15.3,11,74,67,68.65,Y,No,N,FALSE,No,Hybrid,Low,Completed,N,Fast learner,9.7
L0107,Learner_107,Indonesia,South America, Student ,Retail,Power BI,9.9,Beginner,20-07-2025,28 Jul 2025,7,7.9,24,86,26,53.95,0,TRUE,TRUE,No,N,Self-paced,Lower-Middle,Paused,0,NA,6.8
L0108,Learner_108,south korea,Oceania, Clerk , Government ,SpreadSheet,10,Beginner,15 Nov 2025,23-11-2025,11,10.7,21,58,31,84.35,FALSE,0,0,No,N,Instructor-led,Low, Dropped ,Yes,Good progress,18.6
L0109,Learner_109,GERMANY,North America,Clerk, Healthcare ,SpreadSheet,3.2,Intermediate,2025-01-02,01/02/2025,5,10.2,24,51,40,NA,FALSE,0,Yes,Yes,TRUE,Instructor-led,Upper-Middle,Completed,No,Good progress,21.8
L0110,Learner_110,United Kingdom,Africa,Student,Government, google sheets ,1.7,Advanced,30 Dec 2025,07 Jan 2026,7,2.7,6,40,51,83.35,FALSE,N,0,TRUE,1,Hybrid,Lower-Middle,Completed,TRUE,Fast learner,24.9
L0110,Learner_111,indonesia,Europe,Analyst,Education, SpreadSheet ,3.7,Beginner,03/31/2025,2025-04-08,7,15.2,37,92,33,100,Yes,1,N,Yes,1,Hybrid,Upper-Middle,In Progress,No,Good progress,6.8
L0112,Learner_112,NORWAY,Oceania,Analyst,Education,Excel,5.4,Beginner,03 Jan 2025,10 Jan 2025,2,8,11,NA,24,60,TRUE,Y,TRUE,1,N,Instructor-led,Low, Completed ,Y,Fast learner,22.1
L0113,Learner_113, UNITED STATES ,Europe,Analyst,Government,spreadsheet,8.1,Intermediate,03/10/2025,2025-03-17,7,6.6,24,69,57,85.3,N,N,1,TRUE,Y,Instructor-led,Low,Completed,No,Fast learner,24.2
L0114,Learner_114, Mexico ,Asia,Analyst,Retail,Manual Reporting,7,Intermediate,30 May 2025,2025-06-01,6,9.1,32,97,70,67.55,TRUE,FALSE,FALSE,1,Yes,Self-paced,Low,In Progress,No,Struggling,7.6
L0115,Learner_115,FRANCE,Europe,Manager, Healthcare ,SpreadSheet,9,Beginner,2025-07-07,2025-07-08,1,9.9,24,NA,40,54.95,TRUE,No,Yes,TRUE,0,Self-paced,Low,Paused,TRUE,Struggling,14.1
L0116,Learner_116,united kingdom,Asia, Manager ,Government,Spreadsheet,7.2,Beginner,12 Dec 2025,13 Dec 2025,1,13.1,27,47,42,100,Yes,Y,TRUE,Yes,Y,Instructor-led,Low, In Progress ,FALSE,Good progress,24.9
L0117,Learner_117, Japan ,Asia,Student, Retail ,Google Sheets,2.6,Beginner,2025-05-09,05/10/2025,4,5.7,30,72,38,73.85,FALSE,N,N,0,Y,Self-paced,Lower-Middle, Completed ,Y,Fast learner,17.9
L0118,Learner_118, mexico ,North America,Analyst, Finance ,SpreadSheet,3.1,Intermediate,2025-04-20,2025-04-25,7,7.5,39,74,76,94.75,Y,N,Y,Y,N,Hybrid,Low,Completed,No,NA,7.6
